
Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),3.7,"Scalian Inc
3.7",Montreal,"Labege, France",1001 to 5000 employees,1989,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,73,100,86.5,"Scalian Inc
",Montreal,0,31,1,0,1,0,1
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),5.0,"Zesty.ai
5.0",Montreal,"Oakland, CA",1 to 50 employees,2015,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,0,0,73,100,86.5,"Zesty.ai
",Montreal,0,5,0,0,0,1,0
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),-1.0,Services Conseils IntelliSoft,Montreal,"Montreal, Canada",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,73,100,86.5,Services Conseils IntelliSoft,Montreal,0,-1,1,0,1,0,1
Data Scientist.,CA$73K-CA$100K (Glassdoor Est.),5.0,"Brain Finance
5.0",Montreal,"Montreal, Canada",51 to 200 employees,-1,Private Practice / Firm,-1,-1,Unknown / Non-Applicable,-1,0,0,73,100,86.5,"Brain Finance
",Montreal,0,-1,1,0,1,0,0
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),3.7,"Cognizant Technology Solutions
3.7",Mississauga,"Teaneck, NJ",10000+ employees,1994,Company - Public,-1,-1,$10+ billion (CAD),"Tata Consultancy Services, Accenture, Capgemini",0,0,73,100,86.5,"Cognizant Technology Solutions
",Mississauga,0,26,1,0,0,0,0
Data Scientist - Digital Accelerator Team (Contract),CA$73K-CA$100K (Glassdoor Est.),3.6,"Tundra
3.6",Montreal,"Toronto, Canada",201 to 500 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,0,73,100,86.5,"Tundra
",Montreal,0,16,1,0,1,0,1
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),4.0,"Replicon
4.0",Calgary,"Calgary, Canada",201 to 500 employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (CAD),"Kronos Incorporated, TSheets, Workday",0,0,73,100,86.5,"Replicon
",Calgary,0,24,1,0,0,0,0
Data Scientist Intern,CA$73K-CA$100K (Glassdoor Est.),2.7,"Guavus
2.7",Montreal,"San Jose, CA",201 to 500 employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (CAD),-1,0,0,73,100,86.5,"Guavus
",Montreal,0,14,1,0,1,0,1
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),4.8,"Local Logic
4.8",Montreal,"Montreal, Canada",1 to 50 employees,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,73,100,86.5,"Local Logic
",Montreal,0,6,1,0,0,0,0
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),4.0,"Aquatic Informatics
4.0",Vancouver,"Vancouver, Canada",51 to 200 employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (CAD),-1,0,0,73,100,86.5,"Aquatic Informatics
",Vancouver,0,-1,1,0,0,1,1
